FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,SE_ANNO_CAD_DATA
AUFZUGOGD.149,149,POINT (16.380029330081427 48.20697411558125),Stubentor,U3,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) auf den Seitenbahnsteig (Fahrtrichtung 1 nach Simmering) und in das Aufnahmegebäude Ausgang Parkring,SE A01,SE A01,
AUFZUGOGD.150,150,POINT (16.380075643322836 48.20701692787155),Stubentor,U3,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) auf den Seitenbahnsteig (Fahrtrichtung 1 nach Simmering) und in das Aufnahmegebäude Ausgang Parkring,SE A02,SE A01,
AUFZUGOGD.151,151,POINT (16.40742958509624 48.19411928876646),Schlachthausgasse,U3,Aufzug fährt vom Mittelbahnsteig in das Zwischengeschoß und in das stadtauswärtige Aufnahmegebäude Ausgang Markhofgasse,SG A01, ,
AUFZUGOGD.152,152,POINT (16.40583378908625 48.19480475616051),Schlachthausgasse,U3,Aufzug fährt vom Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Schlachthausgasse und Hainburger Weg Niveau +1,SG A02, ,
AUFZUGOGD.153,153,POINT (16.42132772001822 48.16929286496893),Simmering,U3,Aufzug fährt vom Bahnsteig der Linie U3 in das Zwischengeschoß Ausgang Kaiserebersdorferstraße / Strachegasse.,SA A03, ,
AUFZUGOGD.154,154,POINT (16.41989700537717 48.17028267359511),Simmering,U3,Aufzug fährt vom Bahnsteig der Linie U3 an die Oberfläche Ausgang Simmeringer Hauptstraße und auf den ÖBB Bahnsteig.,SA A02,SA A01,
AUFZUGOGD.155,155,POINT (16.421113751436717 48.16896509132615),Simmering,U3,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Strachegasse.,SA A04, ,
AUFZUGOGD.156,156,POINT (16.41989700537717 48.17028267359511),Simmering,U3,Aufzug fährt vom U3 Bahnsteig der Linie U3 an die Oberfläche Ausgang Simmeringer Hauptstraße und auf den ÖBB Bahnsteig.,SA A01,SA A01,
AUFZUGOGD.157,157,POINT (16.364594212424212 48.209183594581916),Herrengasse,U3,Aufzug fährt vom Bahnsteig der Linie U3 ins Zwischengeschoß Aufgang Minoritenplatz.,HZ A03,HZ A02,
AUFZUGOGD.158,158,POINT (16.366234001409154 48.20959243990264),Herrengasse,U3,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Herrengasse,HZ A01, ,
